'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'NotCoExistence(Appeal to Judge, Create Fine)';'NotCoExistence';'[Appeal to Judge]';'[Create Fine]';0.993;0.269;0.267;0.000;1.000;0.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Appeal to Judge, Insert Date Appeal to Prefecture)';'NotSuccession';'[Appeal to Judge]';'[Insert Date Appeal to Prefecture]';0.993;0.008;0.008;0.118;0.030;0.004;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Appeal to Judge, Insert Fine Notification)';'NotSuccession';'[Appeal to Judge]';'[Insert Fine Notification]';1.000;0.143;0.143;0.007;0.531;0.004;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Appeal to Judge, Payment)';'NotCoExistence';'[Appeal to Judge]';'[Payment]';0.992;0.139;0.138;0.004;0.466;0.002;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Appeal to Judge, Send Appeal to Prefecture)';'NotChainSuccession';'[Appeal to Judge]';'[Send Appeal to Prefecture]';0.996;0.008;0.008;0.121;0.030;0.004;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Appeal to Judge, Send Fine)';'NotSuccession';'[Appeal to Judge]';'[Send Fine]';1.000;0.186;0.186;0.005;0.692;0.004;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Appeal to Judge, Send for Credit Collection)';'NotCoExistence';'[Appeal to Judge]';'[Send for Credit Collection]';0.995;0.106;0.106;0.007;0.395;0.003;FALSE;FALSE;FALSE;FALSE
'AtMost1(Create Fine)';'AtMost1';'';'[Create Fine]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Init(Create Fine)';'Init';'';'[Create Fine]';1.000;1.000;1.000;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Add penalty)';'NotChainSuccession';'[Create Fine]';'[Add penalty]';1.000;0.410;0.410;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Create Fine, Appeal to Judge)';'NotCoExistence';'[Create Fine]';'[Appeal to Judge]';0.993;0.269;0.267;0.996;1.000;0.996;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Insert Date Appeal to Prefecture)';'NotChainSuccession';'[Create Fine]';'[Insert Date Appeal to Prefecture]';1.000;0.275;0.275;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Insert Fine Notification)';'NotChainSuccession';'[Create Fine]';'[Insert Fine Notification]';1.000;0.410;0.410;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Create Fine, Notify Result Appeal to Offender)';'NotRespondedExistence';'[Create Fine]';'[Notify Result Appeal to Offender]';0.994;0.268;0.266;0.994;1.000;0.994;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Notify Result Appeal to Offender)';'NotChainSuccession';'[Create Fine]';'[Notify Result Appeal to Offender]';1.000;0.269;0.269;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Create Fine, Receive Result Appeal from Prefecture)';'NotRespondedExistence';'[Create Fine]';'[Receive Result Appeal from Prefecture]';0.993;0.268;0.266;0.993;1.000;0.993;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Receive Result Appeal from Prefecture)';'NotChainSuccession';'[Create Fine]';'[Receive Result Appeal from Prefecture]';1.000;0.270;0.270;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Send Appeal to Prefecture)';'NotChainSuccession';'[Create Fine]';'[Send Appeal to Prefecture]';1.000;0.275;0.275;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Create Fine, Send for Credit Collection)';'NotChainSuccession';'[Create Fine]';'[Send for Credit Collection]';1.000;0.373;0.373;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(Insert Date Appeal to Prefecture)';'AtMost1';'';'[Insert Date Appeal to Prefecture]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Create Fine, Insert Date Appeal to Prefecture)';'AlternatePrecedence';'[Insert Date Appeal to Prefecture]';'[Create Fine]';1.000;0.007;0.007;1.000;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Date Appeal to Prefecture, Appeal to Judge)';'NotChainSuccession';'[Insert Date Appeal to Prefecture]';'[Appeal to Judge]';0.997;0.008;0.008;0.918;0.030;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Insert Date Appeal to Prefecture, Create Fine)';'NotSuccession';'[Insert Date Appeal to Prefecture]';'[Create Fine]';1.000;0.275;0.275;0.028;1.000;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Insert Date Appeal to Prefecture, Insert Fine Notification)';'NotSuccession';'[Insert Date Appeal to Prefecture]';'[Insert Fine Notification]';0.999;0.150;0.150;0.052;0.532;0.028;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Date Appeal to Prefecture, Notify Result Appeal to Offender)';'NotChainSuccession';'[Insert Date Appeal to Prefecture]';'[Notify Result Appeal to Offender]';1.000;0.009;0.009;0.996;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Date Appeal to Prefecture, Payment)';'NotChainSuccession';'[Insert Date Appeal to Prefecture]';'[Payment]';1.000;0.146;0.146;0.057;0.488;0.028;FALSE;FALSE;FALSE;FALSE
'NotChainResponse(Insert Date Appeal to Prefecture, Receive Result Appeal from Prefecture)';'NotChainResponse';'[Insert Date Appeal to Prefecture]';'[Receive Result Appeal from Prefecture]';0.992;0.007;0.007;0.992;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(Insert Date Appeal to Prefecture, Send Appeal to Prefecture)';'AlternateSuccession';'[Insert Date Appeal to Prefecture]';'[Send Appeal to Prefecture]';0.993;0.015;0.015;0.988;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Insert Date Appeal to Prefecture, Send Fine)';'NotSuccession';'[Insert Date Appeal to Prefecture]';'[Send Fine]';1.000;0.193;0.193;0.040;0.692;0.028;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Insert Date Appeal to Prefecture, Send for Credit Collection)';'NotCoExistence';'[Insert Date Appeal to Prefecture]';'[Send for Credit Collection]';0.991;0.113;0.112;0.062;0.418;0.026;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Send Fine, Insert Date Appeal to Prefecture)';'AlternatePrecedence';'[Insert Date Appeal to Prefecture]';'[Send Fine]';0.995;0.007;0.007;0.995;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'AtMost1(Insert Fine Notification)';'AtMost1';'';'[Insert Fine Notification]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Create Fine, Insert Fine Notification)';'AlternatePrecedence';'[Insert Fine Notification]';'[Create Fine]';1.000;0.142;0.142;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(Insert Fine Notification, Add penalty)';'AlternateSuccession';'[Insert Fine Notification]';'[Add penalty]';1.000;0.284;0.284;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Insert Fine Notification, Appeal to Judge)';'NotRespondedExistence';'[Insert Fine Notification]';'[Appeal to Judge]';0.993;0.142;0.141;0.993;0.531;0.528;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Fine Notification, Appeal to Judge)';'NotChainSuccession';'[Insert Fine Notification]';'[Appeal to Judge]';0.993;0.143;0.142;0.996;0.531;0.529;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Insert Fine Notification, Create Fine)';'NotSuccession';'[Insert Fine Notification]';'[Create Fine]';1.000;0.410;0.410;0.531;1.000;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Fine Notification, Notify Result Appeal to Offender)';'NotChainSuccession';'[Insert Fine Notification]';'[Notify Result Appeal to Offender]';1.000;0.144;0.144;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Fine Notification, Receive Result Appeal from Prefecture)';'NotChainSuccession';'[Insert Fine Notification]';'[Receive Result Appeal from Prefecture]';1.000;0.144;0.144;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Fine Notification, Send Appeal to Prefecture)';'NotChainSuccession';'[Insert Fine Notification]';'[Send Appeal to Prefecture]';1.000;0.150;0.150;0.998;0.532;0.531;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Insert Fine Notification, Send Fine)';'NotSuccession';'[Insert Fine Notification]';'[Send Fine]';1.000;0.327;0.327;0.768;0.692;0.531;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Insert Fine Notification, Send for Credit Collection)';'NotChainSuccession';'[Insert Fine Notification]';'[Send for Credit Collection]';1.000;0.247;0.247;1.000;0.531;0.531;FALSE;FALSE;FALSE;FALSE
'ChainPrecedence(Send Fine, Insert Fine Notification)';'ChainPrecedence';'[Insert Fine Notification]';'[Send Fine]';0.999;0.142;0.142;0.999;0.531;0.530;FALSE;FALSE;FALSE;FALSE
'Absence(Notify Result Appeal to Offender)';'Absence';'';'[Notify Result Appeal to Offender]';0.994;0.268;0.266;0.994;1.000;0.994;FALSE;FALSE;FALSE;FALSE
'AtMost1(Notify Result Appeal to Offender)';'AtMost1';'';'[Notify Result Appeal to Offender]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Add penalty)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Add penalty]';1.000;0.144;0.144;0.011;0.531;0.006;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Create Fine)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Create Fine]';1.000;0.269;0.269;0.006;1.000;0.006;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Insert Date Appeal to Prefecture)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Insert Date Appeal to Prefecture]';1.000;0.009;0.009;0.213;0.028;0.006;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Insert Fine Notification)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Insert Fine Notification]';1.000;0.144;0.144;0.011;0.531;0.006;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Notify Result Appeal to Offender, Payment)';'NotChainSuccession';'[Notify Result Appeal to Offender]';'[Payment]';0.990;0.140;0.138;0.008;0.467;0.004;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Send Appeal to Prefecture)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Send Appeal to Prefecture]';0.991;0.009;0.009;0.209;0.028;0.006;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Notify Result Appeal to Offender, Send Fine)';'NotSuccession';'[Notify Result Appeal to Offender]';'[Send Fine]';1.000;0.187;0.187;0.009;0.692;0.006;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Notify Result Appeal to Offender, Send for Credit Collection)';'NotCoExistence';'[Notify Result Appeal to Offender]';'[Send for Credit Collection]';0.990;0.107;0.106;0.010;0.397;0.004;FALSE;FALSE;FALSE;FALSE
'AtMost2(Payment)';'AtMost2';'';'[Payment]';0.999;0.268;0.268;0.999;1.000;0.999;FALSE;FALSE;FALSE;FALSE
'Precedence(Create Fine, Payment)';'Precedence';'[Payment]';'[Create Fine]';1.000;0.138;0.138;1.000;0.464;0.464;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Insert Date Appeal to Prefecture, Payment)';'NotPrecedence';'[Payment]';'[Insert Date Appeal to Prefecture]';0.991;0.138;0.137;0.992;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Notify Result Appeal to Offender, Payment)';'NotPrecedence';'[Payment]';'[Notify Result Appeal to Offender]';0.994;0.138;0.137;0.994;0.464;0.461;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Payment, Appeal to Judge)';'NotCoExistence';'[Payment]';'[Appeal to Judge]';0.992;0.139;0.138;0.992;0.466;0.462;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Create Fine)';'NotSuccession';'[Payment]';'[Create Fine]';1.000;0.406;0.406;0.464;1.000;0.464;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Payment, Insert Date Appeal to Prefecture)';'NotRespondedExistence';'[Payment]';'[Insert Date Appeal to Prefecture]';0.991;0.138;0.137;0.992;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Insert Date Appeal to Prefecture)';'NotSuccession';'[Payment]';'[Insert Date Appeal to Prefecture]';1.000;0.146;0.146;0.951;0.488;0.464;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Insert Fine Notification)';'NotSuccession';'[Payment]';'[Insert Fine Notification]';0.997;0.280;0.280;0.536;0.863;0.463;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Payment, Notify Result Appeal to Offender)';'NotRespondedExistence';'[Payment]';'[Notify Result Appeal to Offender]';0.994;0.138;0.137;0.994;0.464;0.461;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Notify Result Appeal to Offender)';'NotSuccession';'[Payment]';'[Notify Result Appeal to Offender]';1.000;0.140;0.140;0.993;0.467;0.464;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Payment, Receive Result Appeal from Prefecture)';'NotRespondedExistence';'[Payment]';'[Receive Result Appeal from Prefecture]';0.993;0.138;0.137;0.993;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Receive Result Appeal from Prefecture)';'NotSuccession';'[Payment]';'[Receive Result Appeal from Prefecture]';1.000;0.140;0.140;0.993;0.467;0.464;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Payment, Send Appeal to Prefecture)';'NotRespondedExistence';'[Payment]';'[Send Appeal to Prefecture]';0.992;0.138;0.137;0.992;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Send Appeal to Prefecture)';'NotSuccession';'[Payment]';'[Send Appeal to Prefecture]';0.999;0.146;0.146;0.950;0.488;0.463;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment, Send Fine)';'NotSuccession';'[Payment]';'[Send Fine]';0.994;0.323;0.321;0.461;1.000;0.461;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Receive Result Appeal from Prefecture, Payment)';'NotPrecedence';'[Payment]';'[Receive Result Appeal from Prefecture]';0.993;0.138;0.137;0.993;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Send Appeal to Prefecture, Payment)';'NotPrecedence';'[Payment]';'[Send Appeal to Prefecture]';0.992;0.138;0.137;0.993;0.464;0.460;FALSE;FALSE;FALSE;FALSE
'Absence(Receive Result Appeal from Prefecture)';'Absence';'';'[Receive Result Appeal from Prefecture]';0.993;0.268;0.266;0.993;1.000;0.993;FALSE;FALSE;FALSE;FALSE
'AtMost1(Receive Result Appeal from Prefecture)';'AtMost1';'';'[Receive Result Appeal from Prefecture]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Receive Result Appeal from Prefecture, Add penalty)';'NotSuccession';'[Receive Result Appeal from Prefecture]';'[Add penalty]';0.998;0.144;0.144;0.012;0.531;0.006;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Receive Result Appeal from Prefecture, Create Fine)';'NotSuccession';'[Receive Result Appeal from Prefecture]';'[Create Fine]';1.000;0.270;0.270;0.007;1.000;0.007;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Receive Result Appeal from Prefecture, Insert Date Appeal to Prefecture)';'NotSuccession';'[Receive Result Appeal from Prefecture]';'[Insert Date Appeal to Prefecture]';1.000;0.009;0.009;0.237;0.028;0.007;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Receive Result Appeal from Prefecture, Insert Fine Notification)';'NotSuccession';'[Receive Result Appeal from Prefecture]';'[Insert Fine Notification]';1.000;0.144;0.144;0.013;0.531;0.007;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Result Appeal from Prefecture, Payment)';'NotChainSuccession';'[Receive Result Appeal from Prefecture]';'[Payment]';0.999;0.140;0.140;0.014;0.467;0.006;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Result Appeal from Prefecture, Send Appeal to Prefecture)';'NotChainSuccession';'[Receive Result Appeal from Prefecture]';'[Send Appeal to Prefecture]';0.994;0.009;0.009;0.235;0.028;0.007;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Receive Result Appeal from Prefecture, Send Fine)';'NotSuccession';'[Receive Result Appeal from Prefecture]';'[Send Fine]';1.000;0.187;0.187;0.010;0.692;0.007;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Receive Result Appeal from Prefecture, Send for Credit Collection)';'NotCoExistence';'[Receive Result Appeal from Prefecture]';'[Send for Credit Collection]';0.991;0.107;0.106;0.012;0.397;0.005;FALSE;FALSE;FALSE;FALSE
'AtMost1(Send Appeal to Prefecture)';'AtMost1';'';'[Send Appeal to Prefecture]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Appeal to Judge, Send Appeal to Prefecture)';'NotPrecedence';'[Send Appeal to Prefecture]';'[Appeal to Judge]';0.993;0.007;0.007;0.993;0.028;0.027;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Create Fine, Send Appeal to Prefecture)';'AlternatePrecedence';'[Send Appeal to Prefecture]';'[Create Fine]';1.000;0.007;0.007;1.000;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotPrecedence(Receive Result Appeal from Prefecture, Send Appeal to Prefecture)';'NotPrecedence';'[Send Appeal to Prefecture]';'[Receive Result Appeal from Prefecture]';0.991;0.007;0.007;0.991;0.028;0.027;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Appeal to Prefecture, Add penalty)';'NotSuccession';'[Send Appeal to Prefecture]';'[Add penalty]';0.990;0.150;0.148;0.047;0.532;0.025;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Appeal to Prefecture, Appeal to Judge)';'NotChainSuccession';'[Send Appeal to Prefecture]';'[Appeal to Judge]';0.998;0.008;0.008;0.917;0.030;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Appeal to Prefecture, Create Fine)';'NotSuccession';'[Send Appeal to Prefecture]';'[Create Fine]';1.000;0.275;0.275;0.028;1.000;0.028;FALSE;FALSE;FALSE;FALSE
'CoExistence(Send Appeal to Prefecture, Insert Date Appeal to Prefecture)';'CoExistence';'[Send Appeal to Prefecture]';'[Insert Date Appeal to Prefecture]';0.994;0.015;0.015;0.989;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Appeal to Prefecture, Insert Date Appeal to Prefecture)';'NotSuccession';'[Send Appeal to Prefecture]';'[Insert Date Appeal to Prefecture]';0.999;0.015;0.015;0.988;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Appeal to Prefecture, Insert Fine Notification)';'NotSuccession';'[Send Appeal to Prefecture]';'[Insert Fine Notification]';1.000;0.150;0.150;0.052;0.532;0.027;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Appeal to Prefecture, Notify Result Appeal to Offender)';'NotChainSuccession';'[Send Appeal to Prefecture]';'[Notify Result Appeal to Offender]';0.998;0.009;0.009;0.989;0.028;0.028;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Appeal to Prefecture, Payment)';'NotChainSuccession';'[Send Appeal to Prefecture]';'[Payment]';1.000;0.146;0.146;0.056;0.488;0.027;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Appeal to Prefecture, Send Fine)';'NotSuccession';'[Send Appeal to Prefecture]';'[Send Fine]';1.000;0.193;0.193;0.040;0.692;0.027;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Send Appeal to Prefecture, Send for Credit Collection)';'NotCoExistence';'[Send Appeal to Prefecture]';'[Send for Credit Collection]';0.991;0.112;0.111;0.061;0.418;0.026;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Send Fine, Send Appeal to Prefecture)';'AlternatePrecedence';'[Send Appeal to Prefecture]';'[Send Fine]';0.998;0.007;0.007;0.998;0.028;0.027;FALSE;FALSE;FALSE;FALSE
'AtMost1(Send Fine)';'AtMost1';'';'[Send Fine]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'ChainPrecedence(Create Fine, Send Fine)';'ChainPrecedence';'[Send Fine]';'[Create Fine]';0.994;0.185;0.184;0.994;0.692;0.688;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Add penalty)';'NotChainSuccession';'[Send Fine]';'[Add penalty]';1.000;0.327;0.327;1.000;0.692;0.692;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Send Fine, Appeal to Judge)';'NotRespondedExistence';'[Send Fine]';'[Appeal to Judge]';0.995;0.185;0.184;0.995;0.692;0.688;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Appeal to Judge)';'NotChainSuccession';'[Send Fine]';'[Appeal to Judge]';1.000;0.186;0.186;1.000;0.692;0.691;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send Fine, Create Fine)';'NotSuccession';'[Send Fine]';'[Create Fine]';1.000;0.453;0.453;0.692;1.000;0.692;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Insert Date Appeal to Prefecture)';'NotChainSuccession';'[Send Fine]';'[Insert Date Appeal to Prefecture]';0.997;0.193;0.192;0.998;0.692;0.690;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Send Fine, Notify Result Appeal to Offender)';'NotRespondedExistence';'[Send Fine]';'[Notify Result Appeal to Offender]';0.991;0.185;0.184;0.991;0.692;0.686;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Notify Result Appeal to Offender)';'NotChainSuccession';'[Send Fine]';'[Notify Result Appeal to Offender]';1.000;0.187;0.187;1.000;0.692;0.692;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Send Fine, Receive Result Appeal from Prefecture)';'NotRespondedExistence';'[Send Fine]';'[Receive Result Appeal from Prefecture]';0.990;0.185;0.183;0.990;0.692;0.685;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Receive Result Appeal from Prefecture)';'NotChainSuccession';'[Send Fine]';'[Receive Result Appeal from Prefecture]';1.000;0.187;0.187;1.000;0.692;0.692;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Send Appeal to Prefecture)';'NotChainSuccession';'[Send Fine]';'[Send Appeal to Prefecture]';1.000;0.193;0.193;1.000;0.692;0.692;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Send Fine, Send for Credit Collection)';'NotChainSuccession';'[Send Fine]';'[Send for Credit Collection]';1.000;0.290;0.290;1.000;0.692;0.692;FALSE;FALSE;FALSE;FALSE
'AtMost1(Send for Credit Collection)';'AtMost1';'';'[Send for Credit Collection]';1.000;0.268;0.268;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Add penalty, Send for Credit Collection)';'AlternatePrecedence';'[Send for Credit Collection]';'[Add penalty]';1.000;0.105;0.105;1.000;0.392;0.392;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Create Fine, Send for Credit Collection)';'AlternatePrecedence';'[Send for Credit Collection]';'[Create Fine]';1.000;0.105;0.105;1.000;0.392;0.392;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Insert Fine Notification, Send for Credit Collection)';'AlternatePrecedence';'[Send for Credit Collection]';'[Insert Fine Notification]';1.000;0.105;0.105;1.000;0.392;0.392;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Send Fine, Send for Credit Collection)';'AlternatePrecedence';'[Send for Credit Collection]';'[Send Fine]';1.000;0.105;0.105;1.000;0.392;0.392;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Send for Credit Collection, Add penalty)';'NotSuccession';'[Send for Credit Collection]';'[Add penalty]';1.000;0.247;0.247;0.739;0.531;0.392;FALSE;FALSE;FALSE;FALSE
