'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'NotChainSuccession(Block Claim 1, Execute Payment)';'NotChainSuccession';'[Block Claim 1]';'[Execute Payment]';1.000;0.321;0.321;0.048;0.963;0.047;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(Block Claim 1, Payment Order)';'AlternateResponse';'[Block Claim 1]';'[Payment Order]';1.000;0.005;0.005;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Payment Order)';'NotChainSuccession';'[Block Claim 1]';'[Payment Order]';1.000;0.322;0.322;0.048;0.963;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 1, Receive Claim)';'NotSuccession';'[Block Claim 1]';'[Receive Claim]';1.000;0.115;0.115;0.047;1.000;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Receive Objection 1)';'NotChainSuccession';'[Block Claim 1]';'[Receive Objection 1]';0.998;0.010;0.010;0.560;0.083;0.047;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 1, Receive Objection 2)';'NotCoExistence';'[Block Claim 1]';'[Receive Objection 2]';1.000;0.006;0.006;0.828;0.056;0.047;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 1, Reject Claim)';'NotCoExistence';'[Block Claim 1]';'[Reject Claim]';0.996;0.009;0.009;0.557;0.084;0.046;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Repayment)';'NotChainSuccession';'[Block Claim 1]';'[Repayment]';1.000;0.007;0.007;0.698;0.067;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 1, Start Claim)';'NotSuccession';'[Block Claim 1]';'[Start Claim]';1.000;0.115;0.115;0.047;1.000;0.047;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(Block Claim 1, Unblock Claim 1)';'AlternateSuccession';'[Block Claim 1]';'[Unblock Claim 1]';0.998;0.010;0.010;0.996;0.047;0.046;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Unblock Claim 3)';'NotChainSuccession';'[Block Claim 1]';'[Unblock Claim 3]';1.000;0.006;0.006;0.960;0.049;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 1, Withdraw Claim)';'NotChainSuccession';'[Block Claim 1]';'[Withdraw Claim]';1.000;0.008;0.008;0.633;0.074;0.047;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(Receive Claim, Block Claim 1)';'AlternatePrecedence';'[Block Claim 1]';'[Receive Claim]';1.000;0.005;0.005;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'ChainPrecedence(Start Claim, Block Claim 1)';'ChainPrecedence';'[Block Claim 1]';'[Start Claim]';0.999;0.005;0.005;0.999;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'AtMost1(Block Claim 2)';'AtMost1';'';'[Block Claim 2]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Accept Claim)';'NotCoExistence';'[Block Claim 2]';'[Accept Claim]';1.000;0.110;0.110;0.037;1.000;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Block Claim 1)';'NotCoExistence';'[Block Claim 2]';'[Block Claim 1]';1.000;0.009;0.009;0.441;0.083;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Block Claim 3)';'NotCoExistence';'[Block Claim 2]';'[Block Claim 3]';1.000;0.009;0.009;0.461;0.080;0.037;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 2, Correct Claim)';'NotChainSuccession';'[Block Claim 2]';'[Correct Claim]';0.993;0.011;0.011;0.442;0.083;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Execute Payment)';'NotCoExistence';'[Block Claim 2]';'[Execute Payment]';1.000;0.320;0.320;0.037;1.000;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Payment Order)';'NotCoExistence';'[Block Claim 2]';'[Payment Order]';1.000;0.321;0.320;0.037;1.000;0.037;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 2, Receive Claim)';'NotSuccession';'[Block Claim 2]';'[Receive Claim]';1.000;0.114;0.114;0.037;1.000;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Receive Objection 1)';'NotCoExistence';'[Block Claim 2]';'[Receive Objection 1]';1.000;0.008;0.008;0.487;0.076;0.037;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Block Claim 2, Receive Objection 2)';'NotChainSuccession';'[Block Claim 2]';'[Receive Objection 2]';1.000;0.005;0.005;1.000;0.037;0.037;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(Block Claim 2, Reject Claim)';'AlternateSuccession';'[Block Claim 2]';'[Reject Claim]';0.996;0.008;0.008;0.992;0.037;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Repayment)';'NotCoExistence';'[Block Claim 2]';'[Repayment]';1.000;0.006;0.006;0.636;0.058;0.037;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 2, Start Claim)';'NotSuccession';'[Block Claim 2]';'[Start Claim]';1.000;0.114;0.114;0.037;1.000;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Unblock Claim 1)';'NotCoExistence';'[Block Claim 2]';'[Unblock Claim 1]';1.000;0.009;0.009;0.442;0.083;0.037;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 2, Withdraw Claim)';'NotCoExistence';'[Block Claim 2]';'[Withdraw Claim]';1.000;0.007;0.007;0.566;0.065;0.037;FALSE;FALSE;FALSE;FALSE
'AtMost1(Block Claim 3)';'AtMost1';'';'[Block Claim 3]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Accept Claim)';'NotSuccession';'[Block Claim 3]';'[Accept Claim]';1.000;0.111;0.111;0.045;0.963;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Block Claim 1)';'NotSuccession';'[Block Claim 3]';'[Block Claim 1]';1.000;0.010;0.010;0.504;0.086;0.043;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 3, Block Claim 2)';'NotCoExistence';'[Block Claim 3]';'[Block Claim 2]';1.000;0.009;0.009;0.539;0.080;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Correct Claim)';'NotSuccession';'[Block Claim 3]';'[Correct Claim]';0.990;0.012;0.011;0.502;0.086;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Execute Payment)';'NotSuccession';'[Block Claim 3]';'[Execute Payment]';0.996;0.321;0.320;0.045;0.963;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Payment Order)';'NotSuccession';'[Block Claim 3]';'[Payment Order]';0.996;0.321;0.320;0.045;0.963;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Receive Claim)';'NotSuccession';'[Block Claim 3]';'[Receive Claim]';1.000;0.115;0.115;0.043;1.000;0.043;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 3, Receive Objection 2)';'NotCoExistence';'[Block Claim 3]';'[Receive Objection 2]';1.000;0.006;0.006;0.817;0.053;0.043;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Block Claim 3, Reject Claim)';'NotCoExistence';'[Block Claim 3]';'[Reject Claim]';0.999;0.009;0.009;0.538;0.080;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Start Claim)';'NotSuccession';'[Block Claim 3]';'[Start Claim]';1.000;0.115;0.115;0.043;1.000;0.043;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Block Claim 3, Unblock Claim 1)';'NotSuccession';'[Block Claim 3]';'[Unblock Claim 1]';1.000;0.010;0.010;0.505;0.085;0.043;FALSE;FALSE;FALSE;FALSE
'AtMost2(Correct Claim)';'AtMost2';'';'[Correct Claim]';0.999;0.110;0.110;0.999;1.000;0.999;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Accept Claim)';'NotChainSuccession';'[Correct Claim]';'[Accept Claim]';1.000;0.113;0.113;0.049;0.964;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Correct Claim, Block Claim 1)';'NotSuccession';'[Correct Claim]';'[Block Claim 1]';0.999;0.012;0.012;0.980;0.048;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Correct Claim, Block Claim 2)';'NotSuccession';'[Correct Claim]';'[Block Claim 2]';1.000;0.011;0.011;0.566;0.083;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Block Claim 3)';'NotChainSuccession';'[Correct Claim]';'[Block Claim 3]';1.000;0.012;0.012;0.548;0.086;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Execute Payment)';'NotChainSuccession';'[Correct Claim]';'[Execute Payment]';1.000;0.323;0.323;0.049;0.964;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Payment Order)';'NotChainSuccession';'[Correct Claim]';'[Payment Order]';1.000;0.323;0.323;0.049;0.964;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Correct Claim, Receive Claim)';'NotSuccession';'[Correct Claim]';'[Receive Claim]';1.000;0.117;0.117;0.047;1.000;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Receive Objection 1)';'NotChainSuccession';'[Correct Claim]';'[Receive Objection 1]';0.999;0.011;0.011;0.562;0.083;0.047;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Correct Claim, Receive Objection 2)';'NotRespondedExistence';'[Correct Claim]';'[Receive Objection 2]';0.993;0.007;0.007;0.993;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Receive Objection 2)';'NotChainSuccession';'[Correct Claim]';'[Receive Objection 2]';0.994;0.008;0.008;0.832;0.056;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Correct Claim, Reject Claim)';'NotSuccession';'[Correct Claim]';'[Reject Claim]';0.992;0.011;0.011;0.562;0.083;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Repayment)';'NotChainSuccession';'[Correct Claim]';'[Repayment]';1.000;0.009;0.009;0.699;0.067;0.047;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Correct Claim, Start Claim)';'NotSuccession';'[Correct Claim]';'[Start Claim]';1.000;0.117;0.117;0.047;1.000;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Unblock Claim 3)';'NotChainSuccession';'[Correct Claim]';'[Unblock Claim 3]';0.991;0.007;0.007;0.961;0.049;0.047;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Correct Claim, Withdraw Claim)';'NotChainSuccession';'[Correct Claim]';'[Withdraw Claim]';1.000;0.010;0.010;0.635;0.074;0.047;FALSE;FALSE;FALSE;FALSE
'Precedence(Receive Claim, Correct Claim)';'Precedence';'[Correct Claim]';'[Receive Claim]';1.000;0.007;0.007;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'Precedence(Start Claim, Correct Claim)';'Precedence';'[Correct Claim]';'[Start Claim]';1.000;0.007;0.007;1.000;0.047;0.047;FALSE;FALSE;FALSE;FALSE
'AtMost3(Execute Payment)';'AtMost3';'';'[Execute Payment]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(Execute Payment, Accept Claim)';'CoExistence';'[Execute Payment]';'[Accept Claim]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Accept Claim)';'NotSuccession';'[Execute Payment]';'[Accept Claim]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Block Claim 1)';'NotSuccession';'[Execute Payment]';'[Block Claim 1]';1.000;0.321;0.321;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Execute Payment, Block Claim 2)';'NotCoExistence';'[Execute Payment]';'[Block Claim 2]';1.000;0.320;0.320;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainResponse(Execute Payment, Block Claim 3)';'NotChainResponse';'[Execute Payment]';'[Block Claim 3]';0.992;0.316;0.314;0.976;0.963;0.940;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Correct Claim)';'NotSuccession';'[Execute Payment]';'[Correct Claim]';0.999;0.323;0.323;0.999;0.964;0.963;FALSE;FALSE;FALSE;FALSE
'CoExistence(Execute Payment, Payment Order)';'CoExistence';'[Execute Payment]';'[Payment Order]';1.000;0.633;0.633;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'CoExistence(Execute Payment, Receive Claim)';'CoExistence';'[Execute Payment]';'[Receive Claim]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Receive Claim)';'NotSuccession';'[Execute Payment]';'[Receive Claim]';1.000;0.426;0.426;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Execute Payment, Receive Objection 2)';'NotCoExistence';'[Execute Payment]';'[Receive Objection 2]';1.000;0.317;0.317;0.990;0.972;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Execute Payment, Reject Claim)';'NotCoExistence';'[Execute Payment]';'[Reject Claim]';1.000;0.320;0.320;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Execute Payment, Repayment)';'NotChainSuccession';'[Execute Payment]';'[Repayment]';1.000;0.318;0.318;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'CoExistence(Execute Payment, Start Claim)';'CoExistence';'[Execute Payment]';'[Start Claim]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Start Claim)';'NotSuccession';'[Execute Payment]';'[Start Claim]';1.000;0.426;0.426;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Execute Payment, Unblock Claim 1)';'NotSuccession';'[Execute Payment]';'[Unblock Claim 1]';1.000;0.321;0.321;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Execute Payment, Unblock Claim 3)';'NotCoExistence';'[Execute Payment]';'[Unblock Claim 3]';0.995;0.317;0.315;0.996;0.963;0.959;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Execute Payment, Withdraw Claim)';'NotChainSuccession';'[Execute Payment]';'[Withdraw Claim]';0.999;0.319;0.319;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'AtMost3(Payment Order)';'AtMost3';'';'[Payment Order]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(Payment Order, Accept Claim)';'CoExistence';'[Payment Order]';'[Accept Claim]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Accept Claim)';'NotSuccession';'[Payment Order]';'[Accept Claim]';1.000;0.422;0.422;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Block Claim 1)';'NotSuccession';'[Payment Order]';'[Block Claim 1]';1.000;0.322;0.322;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Payment Order, Block Claim 2)';'NotCoExistence';'[Payment Order]';'[Block Claim 2]';1.000;0.321;0.320;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Payment Order, Block Claim 3)';'NotChainSuccession';'[Payment Order]';'[Block Claim 3]';1.000;0.321;0.321;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Correct Claim)';'NotSuccession';'[Payment Order]';'[Correct Claim]';0.999;0.323;0.323;0.998;0.964;0.962;FALSE;FALSE;FALSE;FALSE
'ChainSuccession(Payment Order, Execute Payment)';'ChainSuccession';'[Payment Order]';'[Execute Payment]';0.999;0.633;0.632;0.997;0.963;0.960;FALSE;FALSE;FALSE;FALSE
'CoExistence(Payment Order, Receive Claim)';'CoExistence';'[Payment Order]';'[Receive Claim]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Receive Claim)';'NotSuccession';'[Payment Order]';'[Receive Claim]';1.000;0.426;0.426;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Payment Order, Receive Objection 1)';'NotChainSuccession';'[Payment Order]';'[Receive Objection 1]';1.000;0.321;0.321;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Payment Order, Receive Objection 2)';'NotCoExistence';'[Payment Order]';'[Receive Objection 2]';1.000;0.318;0.318;0.990;0.972;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Payment Order, Reject Claim)';'NotCoExistence';'[Payment Order]';'[Reject Claim]';1.000;0.321;0.320;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Payment Order, Repayment)';'NotChainSuccession';'[Payment Order]';'[Repayment]';1.000;0.319;0.319;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'CoExistence(Payment Order, Start Claim)';'CoExistence';'[Payment Order]';'[Start Claim]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Start Claim)';'NotSuccession';'[Payment Order]';'[Start Claim]';1.000;0.426;0.426;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotSuccession(Payment Order, Unblock Claim 1)';'NotSuccession';'[Payment Order]';'[Unblock Claim 1]';1.000;0.322;0.322;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Payment Order, Unblock Claim 3)';'NotCoExistence';'[Payment Order]';'[Unblock Claim 3]';0.995;0.317;0.315;0.996;0.963;0.959;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Payment Order, Withdraw Claim)';'NotChainSuccession';'[Payment Order]';'[Withdraw Claim]';1.000;0.320;0.320;1.000;0.963;0.963;FALSE;FALSE;FALSE;FALSE
'AtMost1(Receive Claim)';'AtMost1';'';'[Receive Claim]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Init(Receive Claim)';'Init';'';'[Receive Claim]';1.000;0.110;0.110;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Accept Claim)';'NotChainSuccession';'[Receive Claim]';'[Accept Claim]';1.000;0.216;0.216;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Block Claim 1)';'NotChainSuccession';'[Receive Claim]';'[Block Claim 1]';1.000;0.115;0.115;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Block Claim 2)';'NotChainSuccession';'[Receive Claim]';'[Block Claim 2]';1.000;0.114;0.114;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Block Claim 3)';'NotChainSuccession';'[Receive Claim]';'[Block Claim 3]';1.000;0.115;0.115;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Correct Claim)';'NotChainSuccession';'[Receive Claim]';'[Correct Claim]';1.000;0.117;0.117;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(Receive Claim, Execute Payment)';'Succession';'[Receive Claim]';'[Execute Payment]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Execute Payment)';'NotChainSuccession';'[Receive Claim]';'[Execute Payment]';1.000;0.426;0.426;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(Receive Claim, Payment Order)';'Succession';'[Receive Claim]';'[Payment Order]';0.990;0.426;0.422;0.963;1.000;0.963;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Payment Order)';'NotChainSuccession';'[Receive Claim]';'[Payment Order]';1.000;0.426;0.426;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Receive Objection 1)';'NotChainSuccession';'[Receive Claim]';'[Receive Objection 1]';1.000;0.114;0.114;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotRespondedExistence(Receive Claim, Receive Objection 2)';'NotRespondedExistence';'[Receive Claim]';'[Receive Objection 2]';0.990;0.110;0.109;0.990;1.000;0.990;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Receive Objection 2)';'NotChainSuccession';'[Receive Claim]';'[Receive Objection 2]';1.000;0.111;0.111;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Reject Claim)';'NotChainSuccession';'[Receive Claim]';'[Reject Claim]';1.000;0.114;0.114;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Repayment)';'NotChainSuccession';'[Receive Claim]';'[Repayment]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'ChainSuccession(Receive Claim, Start Claim)';'ChainSuccession';'[Receive Claim]';'[Start Claim]';1.000;0.220;0.220;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(Receive Claim, Unblock Claim 1)';'NotChainSuccession';'[Receive Claim]';'[Unblock Claim 1]';1.000;0.115;0.115;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(Receive Claim, Unblock Claim 3)';'NotCoExistence';'[Receive Claim]';'[Unblock Claim 3]';0.992;0.110;0.110;0.996;1.000;0.996;FALSE;FALSE;FALSE;FALSE
