'Constraint';'Template';'Activation';'Target';'Confidence';'Coverage';'Support';'Trace confidence';'Trace coverage';'Trace support';'Marked for exclusion';'Below thresholds';'Redudant';'Conflicting'
'AtLeast1(A_Complete)';'AtLeast1';'';'[A_Complete]';0.995;0.073;0.072;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Complete)';'AtMost1';'';'[A_Complete]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, A_Accepted)';'CoExistence';'[A_Complete]';'[A_Accepted]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Complete, A_Accepted)';'NotSuccession';'[A_Complete]';'[A_Accepted]';1.000;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, A_Concept)';'CoExistence';'[A_Complete]';'[A_Concept]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Complete, A_Concept)';'NotSuccession';'[A_Complete]';'[A_Concept]';1.000;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, A_Create Application)';'CoExistence';'[A_Complete]';'[A_Create Application]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Complete, A_Create Application)';'NotSuccession';'[A_Complete]';'[A_Create Application]';1.000;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, A_Denied)';'NotChainSuccession';'[A_Complete]';'[A_Denied]';0.994;0.081;0.081;0.995;0.997;0.992;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, A_Incomplete)';'NotChainSuccession';'[A_Complete]';'[A_Incomplete]';1.000;0.126;0.126;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, A_Pending)';'NotChainSuccession';'[A_Complete]';'[A_Pending]';1.000;0.112;0.112;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Complete, A_Submitted)';'NotSuccession';'[A_Complete]';'[A_Submitted]';1.000;0.119;0.119;0.997;0.999;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Accepted)';'NotChainSuccession';'[A_Complete]';'[O_Accepted]';1.000;0.112;0.112;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, O_Create Offer)';'CoExistence';'[A_Complete]';'[O_Create Offer]';0.998;0.172;0.171;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, O_Created)';'CoExistence';'[A_Complete]';'[O_Created]';0.998;0.172;0.171;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Created)';'NotChainSuccession';'[A_Complete]';'[O_Created]';1.000;0.172;0.172;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Refused)';'NotChainSuccession';'[A_Complete]';'[O_Refused]';1.000;0.083;0.083;0.999;0.996;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Returned)';'NotChainSuccession';'[A_Complete]';'[O_Returned]';1.000;0.126;0.126;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Complete, O_Sent (mail and online))';'CoExistence';'[A_Complete]';'[O_Sent (mail and online)]';0.996;0.164;0.163;0.990;0.995;0.985;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Sent (mail and online))';'NotChainSuccession';'[A_Complete]';'[O_Sent (mail and online)]';0.999;0.164;0.164;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Complete, O_Sent (online only))';'NotChainSuccession';'[A_Complete]';'[O_Sent (online only)]';1.000;0.077;0.077;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(O_Create Offer, A_Complete)';'AlternatePrecedence';'[A_Complete]';'[O_Create Offer]';1.000;0.072;0.072;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(O_Created, A_Complete)';'AlternatePrecedence';'[A_Complete]';'[O_Created]';1.000;0.072;0.072;1.000;0.995;0.995;FALSE;FALSE;FALSE;FALSE
'AtLeast1(A_Concept)';'AtLeast1';'';'[A_Concept]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Concept)';'AtMost1';'';'[A_Concept]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'ChainSuccession(A_Concept, A_Accepted)';'ChainSuccession';'[A_Concept]';'[A_Accepted]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Cancelled)';'NotChainSuccession';'[A_Concept]';'[A_Cancelled]';1.000;0.097;0.097;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_Concept, A_Complete)';'AlternateSuccession';'[A_Concept]';'[A_Complete]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Complete)';'NotChainSuccession';'[A_Concept]';'[A_Complete]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'CoExistence(A_Concept, A_Create Application)';'CoExistence';'[A_Concept]';'[A_Create Application]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Concept, A_Create Application)';'NotSuccession';'[A_Concept]';'[A_Create Application]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Denied)';'NotChainSuccession';'[A_Concept]';'[A_Denied]';1.000;0.081;0.081;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Incomplete)';'NotChainSuccession';'[A_Concept]';'[A_Incomplete]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Pending)';'NotChainSuccession';'[A_Concept]';'[A_Pending]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Concept, A_Submitted)';'NotSuccession';'[A_Concept]';'[A_Submitted]';1.000;0.120;0.120;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, A_Validating)';'NotChainSuccession';'[A_Concept]';'[A_Validating]';1.000;0.162;0.162;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Accepted)';'NotChainSuccession';'[A_Concept]';'[O_Accepted]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Cancelled)';'NotChainSuccession';'[A_Concept]';'[O_Cancelled]';1.000;0.121;0.121;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(A_Concept, O_Create Offer)';'AlternateResponse';'[A_Concept]';'[O_Create Offer]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Concept, O_Create Offer)';'Succession';'[A_Concept]';'[O_Create Offer]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Create Offer)';'NotChainSuccession';'[A_Concept]';'[O_Create Offer]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(A_Concept, O_Created)';'AlternateResponse';'[A_Concept]';'[O_Created]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Concept, O_Created)';'Succession';'[A_Concept]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Created)';'NotChainSuccession';'[A_Concept]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Refused)';'NotChainSuccession';'[A_Concept]';'[O_Refused]';1.000;0.084;0.084;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Returned)';'NotChainSuccession';'[A_Concept]';'[O_Returned]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Concept, O_Sent (mail and online))';'Succession';'[A_Concept]';'[O_Sent (mail and online)]';0.994;0.164;0.163;0.985;1.000;0.985;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Sent (mail and online))';'NotChainSuccession';'[A_Concept]';'[O_Sent (mail and online)]';1.000;0.164;0.164;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Concept, O_Sent (online only))';'NotChainSuccession';'[A_Concept]';'[O_Sent (online only)]';1.000;0.077;0.077;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Create Application)';'AtMost1';'';'[A_Create Application]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Init(A_Create Application)';'Init';'';'[A_Create Application]';1.000;1.000;1.000;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_Create Application, A_Accepted)';'AlternateSuccession';'[A_Create Application]';'[A_Accepted]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Accepted)';'NotChainSuccession';'[A_Create Application]';'[A_Accepted]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Cancelled)';'NotChainSuccession';'[A_Create Application]';'[A_Cancelled]';1.000;0.097;0.097;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_Create Application, A_Complete)';'AlternateSuccession';'[A_Create Application]';'[A_Complete]';0.998;0.145;0.145;0.995;1.000;0.995;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Complete)';'NotChainSuccession';'[A_Create Application]';'[A_Complete]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateSuccession(A_Create Application, A_Concept)';'AlternateSuccession';'[A_Create Application]';'[A_Concept]';1.000;0.145;0.145;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Denied)';'NotChainSuccession';'[A_Create Application]';'[A_Denied]';1.000;0.081;0.081;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Incomplete)';'NotChainSuccession';'[A_Create Application]';'[A_Incomplete]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Pending)';'NotChainSuccession';'[A_Create Application]';'[A_Pending]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, A_Validating)';'NotChainSuccession';'[A_Create Application]';'[A_Validating]';1.000;0.162;0.162;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Accepted)';'NotChainSuccession';'[A_Create Application]';'[O_Accepted]';1.000;0.112;0.112;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Cancelled)';'NotChainSuccession';'[A_Create Application]';'[O_Cancelled]';1.000;0.121;0.121;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(A_Create Application, O_Create Offer)';'AlternateResponse';'[A_Create Application]';'[O_Create Offer]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Create Application, O_Create Offer)';'Succession';'[A_Create Application]';'[O_Create Offer]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Create Offer)';'NotChainSuccession';'[A_Create Application]';'[O_Create Offer]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternateResponse(A_Create Application, O_Created)';'AlternateResponse';'[A_Create Application]';'[O_Created]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Create Application, O_Created)';'Succession';'[A_Create Application]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Created)';'NotChainSuccession';'[A_Create Application]';'[O_Created]';1.000;0.172;0.172;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Refused)';'NotChainSuccession';'[A_Create Application]';'[O_Refused]';1.000;0.084;0.084;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Returned)';'NotChainSuccession';'[A_Create Application]';'[O_Returned]';1.000;0.126;0.126;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'Succession(A_Create Application, O_Sent (mail and online))';'Succession';'[A_Create Application]';'[O_Sent (mail and online)]';0.994;0.164;0.163;0.985;1.000;0.985;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Sent (mail and online))';'NotChainSuccession';'[A_Create Application]';'[O_Sent (mail and online)]';1.000;0.164;0.164;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'NotChainSuccession(A_Create Application, O_Sent (online only))';'NotChainSuccession';'[A_Create Application]';'[O_Sent (online only)]';1.000;0.077;0.077;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AtMost1(A_Denied)';'AtMost1';'';'[A_Denied]';1.000;0.073;0.073;1.000;1.000;1.000;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Accepted, A_Denied)';'AlternatePrecedence';'[A_Denied]';'[A_Accepted]';1.000;0.009;0.009;1.000;0.119;0.119;FALSE;FALSE;FALSE;FALSE
'Precedence(A_Complete, A_Denied)';'Precedence';'[A_Denied]';'[A_Complete]';0.990;0.009;0.009;0.990;0.119;0.118;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Concept, A_Denied)';'AlternatePrecedence';'[A_Denied]';'[A_Concept]';1.000;0.009;0.009;1.000;0.119;0.119;FALSE;FALSE;FALSE;FALSE
'AlternatePrecedence(A_Create Application, A_Denied)';'AlternatePrecedence';'[A_Denied]';'[A_Create Application]';1.000;0.009;0.009;1.000;0.119;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Accepted)';'NotSuccession';'[A_Denied]';'[A_Accepted]';1.000;0.081;0.081;0.119;1.000;0.119;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Denied, A_Cancelled)';'NotCoExistence';'[A_Denied]';'[A_Cancelled]';1.000;0.033;0.033;0.265;0.450;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Complete)';'NotSuccession';'[A_Denied]';'[A_Complete]';1.000;0.081;0.081;0.119;0.997;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Concept)';'NotSuccession';'[A_Denied]';'[A_Concept]';1.000;0.081;0.081;0.119;1.000;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Create Application)';'NotSuccession';'[A_Denied]';'[A_Create Application]';1.000;0.081;0.081;0.119;1.000;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Incomplete)';'NotSuccession';'[A_Denied]';'[A_Incomplete]';1.000;0.062;0.062;0.216;0.552;0.119;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Denied, A_Pending)';'NotCoExistence';'[A_Denied]';'[A_Pending]';1.000;0.048;0.048;0.179;0.666;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Submitted)';'NotSuccession';'[A_Denied]';'[A_Submitted]';1.000;0.056;0.056;0.175;0.681;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, A_Validating)';'NotSuccession';'[A_Denied]';'[A_Validating]';1.000;0.098;0.098;0.170;0.699;0.119;FALSE;FALSE;FALSE;FALSE
'NotCoExistence(A_Denied, O_Accepted)';'NotCoExistence';'[A_Denied]';'[O_Accepted]';1.000;0.048;0.048;0.179;0.666;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, O_Cancelled)';'NotSuccession';'[A_Denied]';'[O_Cancelled]';1.000;0.057;0.057;0.195;0.611;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, O_Create Offer)';'NotSuccession';'[A_Denied]';'[O_Create Offer]';1.000;0.108;0.108;0.119;1.000;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, O_Created)';'NotSuccession';'[A_Denied]';'[O_Created]';1.000;0.108;0.108;0.119;1.000;0.119;FALSE;FALSE;FALSE;FALSE
'ChainResponse(A_Denied, O_Refused)';'ChainResponse';'[A_Denied]';'[O_Refused]';0.991;0.009;0.009;0.991;0.119;0.118;FALSE;FALSE;FALSE;FALSE
'Succession(A_Denied, O_Refused)';'Succession';'[A_Denied]';'[O_Refused]';0.996;0.019;0.019;0.991;0.119;0.118;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, O_Returned)';'NotSuccession';'[A_Denied]';'[O_Returned]';1.000;0.062;0.062;0.171;0.698;0.119;FALSE;FALSE;FALSE;FALSE
'NotSuccession(A_Denied, O_Sent (mail and online))';'NotSuccession';'[A_Denied]';'[O_Sent (mail and online)]';1.000;0.100;0.100;0.121;0.987;0.119;FALSE;FALSE;FALSE;FALSE
